UNIXTimestamp,Location,LocationKoppenGeigerClassification,AirTemperatureCelsius,AirPressure_hPa,WindSpeed_kmh,WindDirection_deg,Humidity_percent,CloudCoverage_percent,Precipitation_mm
1672524000,Airstrip One,Af,27.94192136935923,1026.5229454853566,11.299695938758035,48.197129436317866,93.2921561816854,69.87646854505618,0.2830856971985454
1672610400,Airstrip One,Af,27.585284204019267,1006.6170874005882,21.03086602057722,58.76793594228422,101.55836875599714,94.6751062679914,7.546798824388269
1672696800,Airstrip One,Af,29.547874879165093,1005.6768391504853,16.585643057884603,197.15716813953685,94.4185531376413,73.25565941292389,6.924606596869732
1672783200,Airstrip One,Af,29.32884622287025,1013.1907311705146,7.329082957603301,109.89610463780303,95.66938314859847,77.00814944579541,2.1443080981600575
1672869600,Airstrip One,Af,23.988730274363608,1010.7050851465445,13.229805311566071,153.63395630965394,101.99903450609588,95.99710351828764,3.1038733981753097
1672956000,Airstrip One,Af,27.467239245450926,1017.1659142430184,6.903305607621011,264.9199050843618,102.67899854097416,98.03699562292249,5.583910714475148
1673042400,Airstrip One,Af,26.812479521180144,1015.4406060869992,21.01624120202663,359.34398151639044,91.51811223764854,64.5543367129456,4.346530495634925
1673128800,Airstrip One,Af,30.39474850306037,1014.7848807854031,5.756287686411752,70.79962788900869,90.31515902325584,60.945477069767534,1.6252471688216066
1673215200,Airstrip One,Af,29.632984180282328,1020.8735616617768,12.12336695372967,302.4363507273482,99.79437152614102,89.38311457842305,5.985462089635858
1673301600,Airstrip One,Af,26.86925713134571,1007.2305717664207,24.935938921818963,224.08470053910017,102.12276661166575,96.36829983499723,8.650985120861616
1673388000,Airstrip One,Af,24.571103837869916,1008.057292099495,12.112883740254329,169.56294212348664,102.80489284586798,98.41467853760392,5.373729314992513
1673474400,Airstrip One,Af,30.009413902057688,1010.4564220223192,17.39635912339606,179.98886041557574,101.55498762326347,94.66496286979043,9.295714394041227
